"Client","Campaign Name","Sent Date","Total Recipients","Opens","Open Rate","Clicks","Click Rate","CTR","Bounces","Unsubscriptions","Spam Complaints","Tags","Email Format","Time","Subject","Employment Status","Topic","Product Type","Date Entered","MoAf","Day","Covid","Size","Subject Length","Punctuation","lastChar","Duplicate","Techniques"
"Providence / St. Joseph","Providence LCMF Torrance CGA 2020-06-22 (1 of 1)",2020-06-22,1836,165,10.94,8,0.53,4.85,328,3,3,NA,NA,NA,"Give and Get—with a Providence Little Company of Mary Charitable Gift Annuity","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",77,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence St Joseph CGA 2020-06-22 (1 of 1)",2020-06-22,1093,156,17.29,3,0.33,1.92,191,7,2,NA,NA,NA,"Give and Get—with a Providence Saint Joseph Charitable Gift Annuity","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",67,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence Trinity Care CGA 2020-06-22 (1 of 1)",2020-06-22,536,79,18.04,2,0.46,2.53,98,1,0,NA,NA,NA,"Give and Get—with a Providence TrinityCare Charitable Gift Annuity","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",66,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence Trinity Care YE 2020-11-17 (1 of 1)",2020-11-17,484,109,27.18,3,0.75,2.75,83,3,1,NA,NA,NA,"In 2020, planning is more important than ever","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",45,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence St Joseph YE 2020-11-17 (1 of 1)",2020-11-17,876,179,23.25,2,0.26,1.12,106,3,2,NA,NA,NA,"In 2020, planning is more important than ever","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",45,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence Holy Cross YE 2020-11-17 (1 of 1)",2020-11-17,510,79,18.33,2,0.46,2.53,79,3,1,NA,NA,NA,"In 2020, planning is more important than ever","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",45,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence LittleCompanyMary YE 2020-11-17 (1 of 1)",2020-11-17,2447,451,20.93,10,0.46,2.22,292,10,7,NA,NA,NA,"In 2020, planning is more important than ever","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",45,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence Tarzana YE 2020-11-17 (1 of 1)",2020-11-17,202,48,26.97,2,1.12,4.17,24,0,1,NA,NA,NA,"In 2020, planning is more important than ever","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",45,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Holy_Cross_Bequest_2021-07-16",2021-07-16,617,95,17.06,1,0.18,1.05,60,3,4,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Little_Company_Mary_Torrance_Bequest_2021-07-16",2021-07-16,1884,262,14.9,12,0.68,4.58,126,10,0,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Little_Company_Mary_SanPedro_Bequest_2021-07-16",2021-07-16,732,100,14.86,1,0.15,1,59,4,5,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Tarzana_Bequest_2021-07-16",2021-07-16,368,81,25.88,1,0.32,1.23,55,5,2,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Providence_TrinityCare_Bequest_2021-07-16",2021-07-16,603,118,21.45,2,0.36,1.69,53,9,0,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Providence_St_Joseph_Fnd_Bequest_2021-07-16",2021-07-16,1217,274,25.32,1,0.09,0.36,135,12,0,NA,NA,NA,"Two rewarding ways to give back","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Providence / St. Joseph","Providence_St_Joseph_Fnd_GRE_2021-11-23",2021-11-23,873,370,44.31,38,4.55,10.27,38,17,4,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Holy_Cross_GRE_2021-11-23",2021-11-23,378,130,34.85,27,7.24,20.77,5,2,3,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Tarzana_GRE_2021-11-23",2021-11-23,331,151,47.19,31,9.69,20.53,11,4,0,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_LCMF_GRE_2021-11-23",2021-11-23,1155,419,37.08,41,3.63,9.79,25,15,8,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Trinity_GRE_2021-11-23",2021-11-23,269,109,40.67,25,9.33,22.94,1,3,0,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_Mission_GRE_2021-11-23",2021-11-23,706,289,45.44,43,6.76,14.88,70,9,5,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_St_Joseph_Hosp_Fnd_GRE_2021-11-23",2021-11-23,525,165,33.27,39,7.86,23.64,29,3,1,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_St_Mary_GRE_2021-11-23",2021-11-23,148,62,43.97,24,17.02,38.71,7,0,3,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","Providence_St_Jude_GRE_2021-11-23",2021-11-23,1381,547,41,172,12.89,31.44,47,11,5,NA,NA,NA,"Real estate: One gift, many rewarding benefits","Active","Real Estate","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"Providence / St. Joseph","STJ_StJude_Reserved_Life_Estate_2022-05-17",2022-05-17,2101,663,32.5,4,0.2,0.6,61,23,7,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","STM_Reserved_Life_Estate_2022-05-17",2022-05-17,147,35,23.81,0,0,0,0,0,0,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","SJO_StJoHospFdn_Reserved_Life_Estate_2022-05-17",2022-05-17,580,175,31.14,2,0.36,1.14,18,6,2,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","MIS_Reserved_Life_Estate_2022-05-17",2022-05-17,730,390,55.32,61,8.65,15.64,25,10,0,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PTC_Reserved_Life_Estate_2022-05-17",2022-05-17,1558,534,37.29,8,0.56,1.5,126,8,0,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PLCM_Reserved_Life_Estate_2022-05-17",2022-05-17,1376,464,34.27,0,0,0,22,12,3,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PTZ_Reserved_Life_Estate_2022-05-17",2022-05-17,388,128,33.33,1,0.26,0.78,4,3,0,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PHC_Reserved_Life_Estate_2022-05-17",2022-05-17,484,132,27.56,0,0,0,5,3,1,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_StJoFdn_Reserved_Life_Estate_2022-05-17",2022-05-17,936,349,38.1,6,0.66,1.72,20,12,0,"2022||Reserved Life Estate",NA,NA,"Open doors to creative charitable giving","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",40,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Mission_Year-End_2022-11-29",2022-11-29,1121,452,46.55,4,0.41,0.88,150,19,3,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Redwood_Year-End_2022-11-29",2022-11-29,165,53,44.92,2,1.69,3.77,47,0,0,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Petaluma_Year-End_2022-11-29",2022-11-29,295,111,43.02,1,0.39,0.9,37,3,2,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Santa_Rosa_Year-End_2022-11-29",2022-11-29,901,290,37.37,2,0.26,0.69,125,19,5,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Joseph_Fnd_Year-End_2022-11-29",2022-11-29,1061,432,41.7,2,0.19,0.46,25,7,4,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Jo_Hosp_Fnd_Eureka_Year-End_2022-11-29",2022-11-29,151,54,46.96,0,0,0,36,0,0,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Jo_Hosp_Fnd_Year-End_2022-11-29",2022-11-29,800,248,34.49,1,0.14,0.4,81,8,2,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Jude_Year-End_2022-11-29",2022-11-29,2726,696,26.28,3,0.11,0.43,78,25,10,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Mary_Year-End_2022-11-29",2022-11-29,158,50,31.85,1,0.64,2,1,1,0,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_LCM_Year-End_2022-11-29",2022-11-29,1640,205,12.74,0,0,0,31,5,0,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Queen_Valley_Year-End_2022-11-29",2022-11-29,471,161,39.08,4,0.97,2.48,59,3,1,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Tarzana_Year-End_2022-11-29",2022-11-29,451,160,36.2,2,0.45,1.25,9,3,1,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Holy_Cross_Year-End_2022-11-29",2022-11-29,482,90,19.15,0,0,0,12,0,1,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_TrinityCare_Year_End_2022-11-29",2022-11-29,466,116,26.07,0,0,0,21,3,1,"2022||Year-End",NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_TrinityCare_IRA_2023-03-16",2023-04-18,448,199,48.54,3,0.73,1.51,38,7,1,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Holy_Cross_IRA_2023-03-16",2023-04-18,939,220,28.8,5,0.65,2.27,175,4,0,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Tarzana_IRA_2023-03-16",2023-04-18,657,205,37.55,4,0.73,1.95,111,2,0,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Queen_Valley_IRA_2023-03-16",2023-04-18,459,178,42.18,8,1.9,4.49,37,4,3,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_LCM_IRA_2023-03-16",2023-04-18,1976,636,36.83,6,0.35,0.94,249,3,3,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Mary_IRA_2023-03-16",2023-04-18,319,104,36.11,5,1.74,4.81,31,0,1,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Jude_IRA_2023-03-16",2023-04-18,2609,849,35.88,14,0.59,1.65,243,13,2,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Jo_Hosp_Fnd_IRA_2023-03-16",2023-04-18,1729,622,44.88,11,0.79,1.77,343,13,6,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Jo_Hosp_Fnd_Eureka_IRA_2023-03-16",2023-04-18,190,79,50.32,1,0.64,1.27,33,4,1,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Joseph_Fnd_IRA_2023-03-16",2023-04-18,1540,508,39.11,3,0.23,0.59,241,4,2,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Santa_Rosa_IRA_2023-03-16",2023-04-18,1102,480,48.44,7,0.71,1.46,111,32,5,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Petaluma_IRA_2023-03-16",2023-04-18,253,114,47.3,1,0.41,0.88,12,3,1,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Mission_IRA_2023-03-16",2023-04-18,1681,565,42.35,7,0.52,1.24,347,5,2,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Redwood_IRA_2023-03-16",2023-04-18,99,32,43.24,3,4.05,9.38,25,0,0,"2023||IRA",NA,NA,"A New Giving Option from Your IRA","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_St_Mary_Legacy_2023-09-01",2023-09-01,166,65,39.39,2,1.21,3.08,1,5,0,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Mission_Legacy_2023-09-01",2023-09-01,838,456,57.29,2,0.25,0.44,42,6,1,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Petaluma_Legacy_2023-09-01",2023-09-01,202,87,44.62,1,0.51,1.15,7,2,1,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Santa_Rosa_Legacy_2023-09-01",2023-09-01,582,263,46.88,4,0.71,1.52,21,1,0,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Joseph_Fnd_Legacy_2023-09-01",2023-09-01,960,411,44.29,3,0.32,0.73,32,7,1,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Jo_Hosp_Fnd_Legacy_2023-09-01",2023-09-01,635,190,31.2,4,0.66,2.11,26,4,0,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_LCM_Legacy_2023-09-01",2023-09-01,1022,388,38.38,2,0.2,0.52,11,7,1,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Queen_Valley_Legacy_2023-09-01",2023-09-01,404,181,46.77,4,1.03,2.21,17,7,2,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_TrinityCare_Legacy_2023-09-01",2023-09-01,604,270,46.47,4,0.69,1.48,23,7,0,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_St_Jude_Legacy_2023-09-01",2023-09-01,2144,794,38.88,5,0.24,0.63,102,12,4,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Tarzana_Legacy_2023-09-01",2023-09-01,1021,383,38.88,6,0.61,1.57,36,4,2,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Holy_Cross_Legacy_2023-09-01",2023-09-01,1183,296,25.69,4,0.35,1.35,31,1,1,"2023||Legacy",NA,NA,"Plan Now, Give Later. Help us Continue to Change Lives.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",55,"Yes","Period","No","No"
"Providence / St. Joseph","RMF_Redwood_YE_2023-11-09",2023-11-13,90,23,33.33,2,2.9,8.7,21,1,0,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","STM_St_Mary_YE_2023-11-09",2023-11-13,160,56,36.13,1,0.65,1.79,5,1,0,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","TCF_TrinityCare_YE_2023-11-09",2023-11-13,583,229,39.97,4,0.7,1.75,10,4,0,"2023||Legacy",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","PVH_Petaluma_YE_2023-11-09",2023-11-13,193,61,33.52,3,1.65,4.92,11,0,1,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","PHC_Holy_Cross_YE_2023-11-09",2023-11-13,1158,180,15.71,1,0.09,0.56,12,4,0,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","LCM_Little_Co_Mary_YE_2023-11-09",2023-11-13,1011,397,39.62,3,0.3,0.76,9,7,1,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","SJO_St_Joseph_Hosp_Fnd_YE_2023-11-09",2023-11-13,616,239,39.57,4,0.66,1.67,12,4,1,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","SJE_St_Joseph_Hosp_Fnd_Eureka_YE_2023-11-09",2023-11-13,163,50,38.76,1,0.78,2,34,0,0,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","PSJ_Saint_Joseph_Fnd_YE_2023-11-09",2023-11-13,936,377,41.11,2,0.22,0.53,19,3,1,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","QVH_Queen_Valley_YE_2023-11-09",2023-11-13,387,159,43.32,3,0.82,1.89,20,7,2,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","STJ_St_Jude_YE_2023-11-09",2023-11-13,2071,634,31.08,5,0.25,0.79,31,10,3,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","SRF_Santa_Rosa_YE_2023-11-09",2023-11-13,577,220,40.52,5,0.92,2.27,34,7,1,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","MIS_Mission_YE_2023-11-09",2023-11-13,813,387,48.99,5,0.63,1.29,23,4,0,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Providence / St. Joseph","PTZ_Tarzana_YE_2023-11-09",2023-11-13,992,313,32.14,4,0.41,1.28,18,3,3,"2023||Year-End",NA,NA,"Smart Options for Making a Meaningful Difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Monday","Post-COVID","Small",48,"No","No Punctuation","No","No"
